;post_message;post_message_en
0;Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared BELIEVING STATE CENTER REFERENCE AND FAMILIES RARE DISEASES s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
1;Os comparto una noticia acerca del tratamiento que está llevando a cabo el doctor Fumihiko Urano desde la Universidad de Washington. Os traduzco lo que más puede interesar y es lo que ya un poco se sabe: En 2017 durante 6 meses se va a probar con 12 pacientes adultos y 12 pediátricos un tratamiento para frenar el progreso de la enfermedad  un tratamiento que evita la destrucción de células neuronales y de células segregadoras de insulina. Dudan que pueda revertir la enfermedad (regenerar) pero están muy confiados en el hecho de poder frenar (ya ha funcionado en ratones y animales). En el enlace dejan un teléfono y un email al que podéis escribir para más información sobre la investigación y también si queréis ser de los que prueben el tratamiento  siempre y cuando os desplacéis a Washington :)   ;I share a story about the treatment being carried out Dr. Fumihiko Urano from the University of Washington. I translate what can more interest and is already a little known: In 2017 for 6 months will test with 12 adult patients and 12 pediatric treatment to slow the progression of the disease treatment that prevents cell destruction neuronal and insulin secreting cells. Doubters that it can reverse the disease (regenerate) but are very confident in being able to stop (it has already worked in mice and animals). The link leave a phone and email to which you can write for more information about the investigation and also if you want to be of those who try the treatment as long as you desplacéis to Washington :)   
2;;
3;;
4;;
5;Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared BELIEVING STATE CENTER REFERENCE AND FAMILIES RARE DISEASES s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
6;;
7;;
8;Julia Del Campo Garcia shared Rare Commons - Hospital Sant Joan de Déu Barcelona s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared Rare Commons - Hospital Sant Joan de Deu Barcelona s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
9;Julia Del Campo Garcia shared Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared Spanish Association for Research and Assistance Wolfram syndrome s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
